D,relative_err
10,0.3274446563713008
11,0.3378027492122296
12,0.35387796876887423
13,0.3748844459820851
14,0.3757141935169267
15,0.37937710779213873
16,0.3820188458005595
17,0.38327197626603393
18,0.3836093905636716
19,0.38370572818236004
20,0.3839544200915484
21,0.38397635295882643
22,0.3840150099359897
23,0.38402192238957383
24,0.38402361409702834
25,0.38402496276665987
26,0.38402445698305343
27,0.3840247466299183
28,0.384025015162227
29,0.38402574350008883
30,0.3840250576730471
31,0.38402580392233354
32,0.38402506395684793
33,0.38402506265709496
34,0.38402506476350295
35,0.384025065120943
36,0.3840258057994861
37,0.38402506529855457
38,0.3840250653082148
39,0.38402580580922724
40,0.38402580580715817
41,0.3840250653156239
42,0.3840250653152914
43,0.38402506531571967
44,0.3840250653158966
45,0.38402506531602976
46,0.3840250653160081
47,0.38402506531603336
48,0.38402580581288537
49,0.3840250653160345
50,0.384025065316035
51,0.38402506531603514
52,0.38402506531603514
53,0.38402506531603514
54,0.38402506531603514
55,0.38402506531603514
56,0.38402506531603514
57,0.38402506531603514
58,0.38402506531603514
59,0.38402506531603514
60,0.38402580581288837
